name,probes,width,depth,adv,strg_qual,mu_cnt,pipe,probe_bits,RAMB36,RAMB18,URAM,bram_tiles,LUT,LUTasLogic,LUTasMem,SRL,FF,CARRY8,MUX,capture_bits
d1024,1,32,1024,0,0,1,0,32,1,0,0,1.0,660,659,1,148,1202,10,3,32768
d2048,1,32,2048,0,0,1,0,32,2,0,0,2.0,666,664,2,148,1212,10,3,65536
d4096,1,32,4096,0,0,1,0,32,4,0,0,4.0,648,644,4,148,1222,14,3,131072
d8192,1,32,8192,0,0,1,0,32,7,1,0,7.5,685,677,8,148,1234,14,3,262144
d16384,1,32,16384,0,0,1,0,32,15,0,0,15.0,699,684,15,148,1246,14,3,524288
d32768,1,32,32768,0,0,1,0,32,30,0,0,30.0,730,700,30,148,1258,14,30,1048576
d65536,1,32,65536,0,0,1,0,32,60,0,0,60.0,809,749,60,148,1272,14,84,2097152
d131072,1,32,131072,0,0,1,0,32,120,0,0,120.0,980,860,120,172,1292,18,111,4194304
w8,1,8,4096,0,0,1,0,8,1,0,0,1.0,603,602,1,100,1116,12,3,32768
w128,1,128,4096,0,0,1,0,128,14,1,0,14.5,787,772,15,340,1608,20,3,524288
w512,1,512,4096,0,0,1,0,512,57,1,0,57.5,1263,1205,58,1108,3146,44,84,2097152
w1024,1,1024,4096,0,0,1,0,1024,114,1,0,114.5,1925,1810,115,2132,5198,76,161,4194304
p1x128,1,128,4096,0,0,1,0,128,14,1,0,14.5,787,772,15,340,1608,20,3,524288
p4x32,4,32,4096,0,0,1,0,128,14,1,0,14.5,910,895,15,343,1748,23,3,524288
p16x8,16,8,4096,0,0,1,0,128,14,1,0,14.5,1368,1353,15,363,2301,28,71,524288
p32x4,32,4,4096,0,0,1,0,128,14,1,0,14.5,1975,1960,15,523,3040,45,91,524288
base8x32,8,32,4096,0,0,1,0,256,29,0,0,29.0,1218,1189,29,603,2446,35,37,1048576
adv8x32,8,32,4096,1,0,1,0,256,29,0,0,29.0,2786,2753,33,886,4630,74,128,1048576
mu4,8,32,4096,0,0,4,0,256,29,0,0,29.0,2125,2096,29,1419,5087,109,95,1048576
mu16,8,32,4096,0,0,16,0,256,29,0,0,29.0,5744,5715,29,4683,15653,403,438,1048576
pipe2,8,32,4096,0,0,1,2,256,29,0,0,29.0,1218,1189,29,603,2958,35,37,1048576
pipe6,8,32,4096,0,0,1,6,256,29,0,0,29.0,1218,1189,29,603,3982,35,37,1048576
big256,8,32,32768,0,0,1,0,256,229,0,0,229.0,1751,1522,229,603,2489,35,289,8388608
wide1024d8,8,128,8192,0,0,1,0,1024,228,1,0,228.5,3238,3009,229,2139,5543,83,178,8388608
mu2base,8,32,4096,0,0,2,0,256,29,0,0,29.0,1535,1506,29,875,3326,60,21,1048576
sq_mu2,8,32,4096,0,1,2,0,256,29,0,0,29.0,1588,1559,29,892,3405,62,37,1048576
adv_mu2,8,32,4096,1,0,2,0,256,29,0,0,29.0,3087,3054,33,1406,5758,130,157,1048576
advsq_mu2,8,32,4096,1,1,2,0,256,29,0,0,29.0,3130,3097,33,1423,5821,132,160,1048576
