Sample in Buffer,Sample in Window,TRIGGER,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_probe[195:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
0,0,0,1000000000000000000000000000001002809140000010000
1,1,0,1000000000000000000000000000001002809140000010000
2,2,0,1000000000000000000000000000001002809140000010000
3,3,0,1000000000000000000000000000001002809140000010000
4,4,0,1000000000000000000000000000001002809140000010000
5,5,0,1000000000000000000000000000001002809140000010000
6,6,0,1000000000000000000000000000001002809140000010000
7,7,0,1000000000000000000000000000001002809140000010000
8,8,0,1000000000000000000000000000001002809140000010000
9,9,0,1000000000000000000000000000001002809140000010000
10,10,0,1000000000000000000000000000001002809140000010000
11,11,0,1000000000000000000000000000001002809140000010000
12,12,0,1000000000000000000000000000001002809140000010000
13,13,0,1000000000000000000000000000001002809140000010000
14,14,0,1000000000000000000000000000001002809140000010000
15,15,0,1000000000000000000000000000001002809140000010000
16,16,0,1000000000000000000000000000001002809140000010000
17,17,0,1000000000000000000000000000001002809140000010000
18,18,0,1000000000000000000000000000001002809140000010000
19,19,0,1000000000000000000000000000001002809140000010000
20,20,0,1000000000000000000000000000001002809140000010000
21,21,0,1000000000000000000000000000001002809140000010000
22,22,0,1000000000000000000000000000001002809140000010000
23,23,0,1000000000000000000000000000001002809140000010000
24,24,0,1000000000000000000000000000001002809140000010000
25,25,0,1000000000000000000000000000001002809140000010000
26,26,0,1000000000000000000000000000001002809140000010000
27,27,0,1000000000000000000000000000001002809140000010000
28,28,0,1000000000000000000000000000001002809140000010000
29,29,0,1000000000000000000000000000001002809140000010000
30,30,0,1000000000000000000000000000001002809140000010000
31,31,0,1000000000000000000000000000001002809140000010000
32,32,0,1000000000000000000000000000001002809140000010000
33,33,0,1000000000000000000000000000001002809140000010000
34,34,0,1000000000000000000000000000001002809140000010000
35,35,0,1000000000000000000000000000001002809140000010000
36,36,0,1000000000000000000000000000001002809140000010000
37,37,0,1000000000000000000000000000001002809140000010000
38,38,0,1000000000000000000000000000001002809140000010000
39,39,0,1000000000000000000000000000001002809140000010000
40,40,0,1000000000000000000000000000001002809140000010000
41,41,0,1000000000000000000000000000001002809140000010000
42,42,0,1000000000000000000000000000001002809140000010000
43,43,0,1000000000000000000000000000001002809140000010000
44,44,0,1000000000000000000000000000001002809140000010000
45,45,0,1000000000000000000000000000001002809140000010000
46,46,0,1000000000000000000000000000001002809140000010000
47,47,0,1000000000000000000000000000001002809140000010000
48,48,0,1000000000000000000000000000001002809140000010000
49,49,0,1000000000000000000000000000001002809140000010000
50,50,0,1000000000000000000000000000001002809140000010000
51,51,0,1000000000000000000000000000001002809140000010000
52,52,0,1000000000000000000000000000001002809140000010000
53,53,0,1000000000000000000000000000001002809140000010000
54,54,0,1000000000000000000000000000001002809140000010000
55,55,0,1000000000000000000000000000001002809140000010000
56,56,0,1000000000000000000000000000001002809140000010000
57,57,0,1000000000000000000000000000001002809140000010000
58,58,0,1000000000000000000000000000001002809140000010000
59,59,0,1000000000000000000000000000001002809140000010000
60,60,0,1000000000000000000000000000001002809140000010000
61,61,0,1000000000000000000000000000001002809140000010000
