Sample in Buffer,Sample in Window,TRIGGER,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_rstn,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_heartbeat[15:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_refcount[7:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_reservation[7:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_inflight[5:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_fill_pending[3:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_generation[7:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_exp_generation[7:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_slot[5:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_phys[5:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_reuse_req,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_reuse_grant,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_reuse_refused,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_stale,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_payload_mm,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_evictable,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_outstanding[1:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_ar_wait[15:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_rd_latency[15:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_rd_latency_max[15:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_sticky[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,1,10e8,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
1,1,0,1,10e9,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
2,2,0,1,10ea,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
3,3,0,1,10eb,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
4,4,0,1,10ec,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
5,5,0,1,10ed,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
6,6,0,1,10ee,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
7,7,0,1,10ef,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
8,8,0,1,10f0,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
9,9,0,1,10f1,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
10,10,0,1,10f2,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
11,11,0,1,10f3,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
12,12,0,1,10f4,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
13,13,0,1,10f5,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
14,14,0,1,10f6,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
